file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00080_03250.900-03259.250,འོ་སྲོག་ཆགས་སུ་ལ་ཡིན་ནའང་། ཕ་གི་ཅིག་དགའ་སྣང་ཡོང་ཡ་འདྲ་བོ་ཅིག་དང་། ཕ་གི་འཕྲལ་གི་དཔེ་བདེ་སྐྱིད་འདྲ་བོ་ཡོང་ཡ་ཞིག་ཡོང་གི་འདུག་ན། དེ་དགེ་བའི་བྱ་བ་བརྩི་གི་ཡོད་རེད།  ,'o srog chags su la yin na'ang /_pha gi cig dga' snang yong ya 'dra bo cig dang /_pha gi 'phral gi dpe bde skyid 'dra bo yong ya zhig yong gi 'dug na/_de dge ba'i bya ba brtsi gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03250.900-03259.250.wav,STT_TT,3,159,8.349999999999909,wav16k/STT_TT00080_03250.900-03259.250.wav,འོ། སྲོག་ཆགས་སུ་ལ་ཡིན་ནའ། ཕ་གི་ཅིག་དགའ་སྣང་ཡོང་ཡ་འདྲ་བོ་ཞིག་དང་། ཕ་གི་འཕྲལ་གི་དཔེ་བདེ་སྐྱིད་འདྲ་བོ་ཡོང་ཡ་ཞིག་ཡོང་གི་འདུག་ན། འདི་དགེ་བའི་བྱ་བ་བརྩི་གི་ཡོད་རེད།
STT_TT00080_03259.600-03260.950,དགེ་བ་དང་སྡིག་ཟེར་ལབ་ནའང་།  ,dge ba dang sdig zer lab na'ang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03259.600-03260.950.wav,STT_TT,3,28,1.349999999999909,wav16k/STT_TT00080_03259.600-03260.950.wav,དགེ་བ་དང་སྡིག་པ་ཟེར་ལབ་ནས།
STT_TT00080_03261.150-03266.650,འོ་ཕ་གི སངས་རྒྱས་ཀིས་གསུངས་པ་རེད་ཟེར་ཡ་ཞིག་གི སངས་རྒྱས་ཀི་བཀའ། བཀས་བཅད་བཞག་པ་ཞིག་གི འདི་དགེ་བ་རེད། འདི་སྡིག་པ་རེད་ཟེར་ཡ་མིན་འདུག་ག ,'o pha gi_sangs rgyas kis gsungs pa red zer ya zhig gi_sangs rgyas ki bka'/_bkas bcad bzhag pa zhig gi_'di dge ba red/_'di sdig pa red zer ya min 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03261.150-03266.650.wav,STT_TT,3,131,5.5,wav16k/STT_TT00080_03261.150-03266.650.wav,འོ་ཕ་གི་སངས་རྒྱས་ཀིས་གསུངས་པ་རེད་ཟེར་ཡ་ཅིག སངས་རྒྱས་ཀི་བཀའ་དྲ་བཀད་བཅད་བཞག་པ་ཞིག འདི་དགེ་བ་རེད། དེ་རིག་པ་རེད་ཟེར་ཡ་མི་འདུག་ག
STT_TT00080_03267.450-03268.300,གང་ལྟར་ཨེ་ནས།  ,gang ltar e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03267.450-03268.300.wav,STT_TT,3,15,0.8500000000003638,wav16k/STT_TT00080_03267.450-03268.300.wav,གང་ལྟར་ཨེ་ནས།
STT_TT00080_03268.500-03271.550,མི་ལ་ཕན་འདོགས་ཡ། གཞན་ལ་ཡ། ད་གཞན་ལ་རེད།  ,mi la phan 'dogs ya/_gzhan la ya/_da gzhan la red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03268.500-03271.550.wav,STT_TT,3,40,3.050000000000182,wav16k/STT_TT00080_03268.500-03271.550.wav,མི་ལ་ཕན་འདོགས་ཡི གཞན་ལ་ཡ། ད་གཞན་ལ་རེད།
STT_TT00080_03271.750-03275.100,གཞན་ལ་ཕན་འདོགས་ཡ་གི ཨེ་ནས་བློ་དང་།  ,gzhan la phan 'dogs ya gi_e nas blo dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03271.750-03275.100.wav,STT_TT,3,36,3.349999999999909,wav16k/STT_TT00080_03271.750-03275.100.wav,གཞན་ལ་ཕན་འདོགས་ཡ་གི ཨེ་ནས་བློ་དང་།
STT_TT00080_03275.350-03278.000,ཕན་འདོགས་ཡ་གི་བྱ་བ་གང་ཡིན་ནའང་། དེ་དགེ་བའི་བྱ་བ་རེད།  ,phan 'dogs ya gi bya ba gang yin na'ang /_de dge ba'i bya ba red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03275.350-03278.000.wav,STT_TT,3,54,2.650000000000091,wav16k/STT_TT00080_03275.350-03278.000.wav,ཕན་འདོགས་ཡ་གི་བྱ་བ་གང་ཡིན་ནའང་། འདི་དགེ་བའི་བྱ་བ་རེད།
STT_TT00080_03279.150-03282.700,མི་ལ་སྡུག་བསྔལ་ཡོང་ཡ་གི གཞན་ལ་ཡ་སྡུག་བསྔལ་ཡོང་ཡ་གི ཨེ་ནས།  ,mi la sdug bsngal yong ya gi_gzhan la ya sdug bsngal yong ya gi_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03279.150-03282.700.wav,STT_TT,3,59,3.549999999999727,wav16k/STT_TT00080_03279.150-03282.700.wav,མི་ལ་སྡུག་བསྔལ་ཡོང་ཡ་གི གཞན་ལ་ཡ།་སྡུག་བསྔལ་ཡོང་ཡ་གི ཨེ་ནས།
STT_TT00080_03283.100-03285.550,ཅིག་སྒོ་གསུམ་གྱི་སྤྱོད་པ་ག་རེ་ཡིན་ནའང་། དེ་སྡུག་པ་ལ་བརྩི་གི་ཡོད་རེད།  ,cig sgo gsum gyi spyod pa ga re yin na'ang /_de sdug pa la brtsi gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03283.100-03285.550.wav,STT_TT,3,70,2.450000000000273,wav16k/STT_TT00080_03283.100-03285.550.wav,ཅིག་སྒོ་གསུམ་གི་སྤྱོད་པ་ག་རེ་ཡིན་ནའང་། འདི་སྡིག་པ་ལ་བརྩི་གི་ཡོད་རེད།
STT_TT00080_03286.250-03287.750,དེ་འདྲ་གི དགེ་ད།  ,de 'dra gi_dge da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00080_03286.250-03287.750.wav,STT_TT,3,18,1.5,wav16k/STT_TT00080_03286.250-03287.750.wav,དེ་འདྲ་གི་གི་ད།
